ngrams,state,Notes
state,", Oregon",Oregon State Fair -- Note added 6/20/14 7:22
,", Oklahoma","The Oklahoma Resources Integration General Information Network System (Origins) is an online database which contains economic, social, and demographic data intended for use by community leaders, educators, businesses, government agencies, and decision makers. -- Note added 8/28/15 18:22"
"office,state",", Kansas",Office of the State Bank Commissioner of Kansas -- Note added 7/10/14 6:29
state,,OK State Court System -- Note added 8/28/15 18:23
"office,state",", Maryland",Office of the Maryland State Prosecutor -- Note added 5/27/14 3:40
"carolina,division,north",", North Carolina",North Carolina Division of Environmental Assistance and Customer Service   -- Note added 9/15/15 17:43
,", Pennsylvania",Commonwealth of Pennsylvania's media hub -- Note added 6/6/13 18:08
,", Pennsylvania",Unified Judicial System of Pennsylvania -- Note added 1/10/14 15:20
authority,,PA eHealth Partnership Authority -- Note added 6/7/13 11:53
,", Pennsylvania",Pennsylvania FirstNet. See also http://www.ntia.doc.gov/sligp/pennsylvania.  -- Note added 9/24/14 16:11
,", Palau",Republic of Palau National Government -- Note added 6/7/13 18:27
,", Palau",Palau Judiciary Branch -- Note added 5/27/14 15:03
"office,public,state",", Georgia",Georgia State Defense Force public affairs office. Website mirrored on gasdf.com. Referenced on https://ga.ng.mil/Leadership/Georgia-State-Defense-Force/.
,", South Dakota",South Dakota Parks & Wildlife Foundation -- Note added 7/17/14 5:50
state,,PA State System of Higher Education -- Note added 6/7/13 11:53
authority,,PA Patient Safety Authority -- Note added 6/7/13 11:53
commission,", Pennsylvania",Pennsylvania Turnpike Commission -- Note added 10/1/14 18:05
health,,PA Health Care Cost Containment Council -- Note added 6/7/13 11:53
,,PA Higher Education Assistance Agency -- Note added 6/7/13 11:53
authority,,PA Higher Educational Facilities Authority -- Note added 6/7/13 11:53
,,PA Housing Finance Agency -- Note added 6/7/13 11:53
state,", Mississippi","Pat Harrison Waterway District (PHWD), a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi -- Note added 1/13/14 20:28"
"carolina,authority",", South Carolina",South Carolina Ports Authority -- Note added 6/6/13 18:08
,", Virginia",The Port of Virginia -- Note added 7/14/14 17:09
"commission,state",", Washington",Washington State Potato Commission -- Note added 11/17/14 7:11
"office,state,commission",", Alabama","Alabama Historical Commission, State of Alabama Historic Preservation Office -- Note added 7/15/13 18:19"
"department,north,carolina department,department cultural resources,carolina",", North Carolina","Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life -- Note added 11/20/13 17:34"
state,", Maryland","Uninsured Employers' Fund, State of Maryland -- Note added 11/20/13 17:37"
state,,OK State AG Econ at OSU -- Note added 8/28/15 18:25
"public,department,nc department,nc,nc department public",,"Ready NC, NC Department of Public Safety -- Note added 1/14/14 14:35"
,", Pennsylvania","Ready PA, Pennsylvania Emergency Management Agency -- Note added 4/16/14 15:38"
commission,", Washington",Washington Red Raspberry Commission -- Note added 11/17/14 7:07
"board,state board,state",,The State Board of Refrigeration Examiners -- Note added 9/15/15 17:47
"division,department,department education",", Florida",Division of Vocational Rehabilitation - Florida Department of Education -- Note added 7/1/15 18:43
,", Rhode Island",Rhode Island Clean Water Finance Agency -- Note added 1/27/14 19:35
,", Rhode Island",Rhode Island Emissions and Safety Testing -- Note added 1/7/14 18:45
lottery,", Rhode Island",Rhode Island Lottery -- Note added 6/7/13 18:46
"public,commission",", Rhode Island",Rhode Island Public Utilities Commission -- Note added 1/29/14 15:24
authority,", Rhode Island",Rhode Island Turnpike and Bridge Authority -- Note added 1/27/14 15:54
office,", Marshall Islands","Office of the President, Republic of the Marshall Islands -- Note added 6/12/13 13:31"
state,", Montana","SafeMT, a resource of the Montana State Fund for safety in Montana's workplaces. -- Note added 11/18/13 16:35"
"site,nc",,NC Safe Haven Law - Abandoned Infant Protection Law Site -- Note added 9/15/15 17:54
health,", Virginia","The website of the Virginia Center on Aging (VCoA), a statewide agency created by the Virginia General Assembly and housed at Virginia Commonwealth University in the School of Allied Health Professions. VCoA works to protect and improve the quality of life of older Virginians, so that they might remain interdependent and contributing members to life in Virginia. -- Note added 6/27/14 14:23"
"carolina,public,authority",", South Carolina","Santee Cooper, also known officially from the 1930s as the South Carolina Public Service Authority, is South Carolina's state-owned electric and water utility that came into being during the New Deal. -- Note added 8/25/14 16:04"
"office,state",", New Mexico",New Mexico Office of the State Auditor -- Note added 7/16/14 5:38
nc,,Save Water NC -- Note added 11/12/15 12:34
"board,state board,state",", Florida","Florida State Board of Administration, created by the Florida Constitution and is governed by a three-member Board of Trustees (Trustees), comprised of the Governor as Chair, the Chief Financial Officer and the Attorney General. -- Note added 8/25/14 16:59"
"board,state board,state",", Washington",Washington State Board for Community and Technical Colleges -- Note added 4/8/14 18:22
"authority,state",,"State College Borough Water Authority, PA -- Note added 10/1/14 20:16"
,,SC dept of commerce -- Note added 8/28/15 15:19
,,SC judicial courts -- Note added 8/28/15 15:19
,,SC DMV -- Note added 8/28/15 15:20
"carolina,lottery",", South Carolina",South Carolina Education Lottery -- Note added 6/12/13 14:24
"carolina,division",", South Carolina",South Carolina Emergency Management Division -- Note added 8/28/15 15:20
,,SC early childhood education program -- Note added 8/28/15 15:20
,,SC Gov Mansion  -- Note added 8/28/15 15:23
,,SC govoners school for science and math -- Note added 8/28/15 15:23
national guard,,SC National Guard -- Note added 8/28/15 15:24
"public,state",", Virginia","The State Council of Higher Education for Virginia (SCHEV) makes higher education public policy recommendations to the Governor and General Assembly in such areas as capital and operating budget planning, enrollment projections, institutional technology needs, and student financial aid. -- Note added 6/27/14 14:25"
"department,public,north,carolina department,carolina",", North Carolina","School Planning Section, North Carolina Department of Public Instruction -- Note added 8/25/14 15:01"
carolina,", South Carolina",South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:16
carolina,", South Carolina",South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:17
carolina,", South Carolina","The South Carolina EPSCoR/IDeA Program, CCCR COBRE, and the USC School of Medicine Instrumentation Resource Facility -- Note added 8/28/15 15:28"
,,SC malpractice patient compensation fund -- Note added 8/28/15 15:27
carolina,", South Carolina",South Carolina School for the Deaf and Blind -- Note added 8/25/14 15:03
carolina,", South Carolina",South Carolina Statewide Independent Living Council (SILC) -- Note added 9/22/15 15:19
state,,SC sec of state -- Note added 8/28/15 15:29
"carolina department,carolina,department",", South Carolina",South Carolina Department of Revenue -- Note added 8/25/14 15:04
"carolina,commission",", South Carolina",South Carolina Higher EducationTuition Grants Commission -- Note added 8/28/15 15:30
state,,SC State Election Committee -- Note added 8/28/15 15:30
,,SC Vocab Rehab -- Note added 8/28/15 15:31
department,", South Dakota",South Dakota Department of Transportation -- Note added 7/17/14 5:53
authority,", South Dakota",South Dakota Housing Development Authority -- Note added 7/17/14 5:54
"carolina,north,state",,STATE EMPLOYEES ASSOCIATION OF NORTH CAROLINA -- Note added 9/15/15 17:56
,", Michigan","Seeking Michigan, the online platform for the http://michigan.gov/mhc Michigan Historical Center. It includes http://www.michigan.gov/archivesofmi Archives of Michigan research guides and indexes, a blog, and educator resources&ndash;all from the Michigan Historical Center and Archives of Michigan staff. -- Note added 7/9/14 12:06"
,", Minnesota",Minnesota Senate -- Note added 11/9/15 20:36
"division,department",", Arizona","Authorized Service Website for the Arizona Department of Transportation, Motor Vehicle Division -- Note added 1/10/14 19:17"
"authority,state",", Mississippi",Mississippi State Port Authority -- Note added 7/25/14 20:50
"health,carolina,north,state",", North Carolina",North Carolina State Health Plan for Teachers and State Employees -- Note added 7/25/14 15:10
,,SLED (Statewide Library Electronic Doorway) -- Note added 6/6/13 18:08
"public health,public,state,health,nc,division public health,division",,"State Laboratory of Public Health, NC Division of Public Health -- Note added 7/26/13 15:11"
,", Virginia","Science Museum of Virginia, located in Richmond, VA -- Note added 7/11/14 18:43"
"nc,state",,NC Secretary Of State -- Note added 9/15/15 17:58
"carolina,commission",,south carolina arts commission -- Note added 8/28/15 15:32
carolina,,south carolina historical society -- Note added 8/28/15 15:32
"authority,public,state",,PA State Public School Building Authority -- Note added 6/7/13 11:53
"state,york state,commission",", Pennsylvania, Maryland, New York","Susquehanna River Basin Commission - The Susquehanna River Basin Compact, was signed into law on December 24, 1970. The Compact, as adopted by the Congress of the United States, and the legislatures of New York State, Pennsylvania and Maryland, provides the mechanism to guide the conservation, development, and administration of the water resources of the vast river basin. -- Note added 6/26/13 16:30"
"carolina,north,state",", North Carolina","Start Squad, kid's portal to the State Library of North Carolina -- Note added 8/25/14 12:12"
north,", North Carolina",North Carolina's Justus-Warren Heart Disease and Stroke Prevention Task Force -- Note added 11/10/15 20:35
"state agencies,state",", Alaska","*state.ak.us pattern to include Alaska state agencies, such as those at: https://www.google.com/#q=site:state.ak.us  -- Note added 7/8/14 12:25"
"state agencies,state",", Alabama","*state.al.us pattern to include Alabama state agencies, such as those at: https://www.google.com/#q=site:state.al.us  -- Note added 7/8/14 12:26"
state,", Arkansas",*state.ar.us pattern for State of Arkansas agencies -- Note added 7/17/13 19:01
"state agencies,state",", Arizona","*state.az.us pattern to include Arizona state agencies, such as those at https://www.google.com/#q=site:state.az.us.  -- Note added 12/13/13 13:17"
"state agencies,state",", California","*state.ca.us pattern to include California state agencies, such as those at: https://www.google.com/#q=site:state.ca.us  -- Note added 6/27/14 16:14"
state,,"Included to find *.state.co.us pattern to find state websites, such as https://www.google.com/search?q=site%3Astate.co.us  -- Note added 1/14/14 15:07"
"state agencies,state",", Florida","*state.fl.us pattern to include Florida state agencies, such as those at: https://www.google.com/#q=site:state.fl.us   -- Note added 6/27/14 16:15"
state,,State of Ga website -- Note added 8/25/15 16:09
state,", Iowa",State of Iowa -- Note added 8/26/15 13:51
,,Pattern for *state.id.us websites -- Note added 7/8/13 19:27
state,", Illinois",State of Illinois -- Note added 7/3/14 17:38
state,", Indiana",state of  Indiana -- Note added 8/27/15 14:57
,,Ky Website -- Note added 8/27/15 16:57
state,", Louisiana",State Library of Louisiana -- Note added 7/26/13 16:18
state,,Mass State Website -- Note added 8/26/15 16:22
"state agencies,state",", Maryland","State website is at http://www.maryland.gov. state.md.us pattern to include Maryland state agencies, such as those at https://www.google.com/#q=site:state.md.us. -- Note added 7/23/14 16:07"
state,,state of maine -- Note added 8/27/15 20:01
state,,state of michigan -- Note added 9/3/15 16:11
"services,state",", Minnesota",Minnesota.gov portal; 'electronic entry point to Minnesota State government information and services' -- Note added 6/2/15 1:37
state,", Mississippi",State of Mississippi -- Note added 7/8/14 12:53
"state agencies,state",,*.state.ne.us pattern to include several state agencies. -- Note added 12/9/13 18:31
state,,NH State Website -- Note added 9/2/15 19:11
"state agencies,site,state",", New Jersey","http://www.state.nj.us/ and http://www.nj.gov both resolve to the same site. n*state.nj.us pattern to include New Jersey state agencies, such as those at: https://www.google.com/#q=site:state.nj.us  -- Note added 7/8/14 13:04"
state,", New Mexico",State of New Mexico -- Note added 7/16/14 5:42
state,", Ohio",State of Ohio -- Note added 3/27/14 18:36
state,,State of OK website -- Note added 8/28/15 18:27
state,", Oregon","http://www.state.or.us/ resolves to a non-styled version of http://www.oregon.gov/  n*state.or.us pattern included here to find State of Oregon agencies, such as: https://www.google.com/search?q=site:state.or.us -- Note added 7/17/14 17:40"
state,,State of SC  -- Note added 8/28/15 15:35
state,", South Dakota",South Dakota State Government Website -- Note added 7/17/14 6:01
site,", Tennessee",Official site of the Tennessee Government -- Note added 6/26/14 13:27
,", Virginia",The official website of the Commonwealth of Virginia -- Note added 6/27/14 14:50
state,", Vermont",State of Vermont -- Note added 8/15/14 14:27
state,", Washington",State of Washington -- Note added 11/17/14 6:48
,,"*.state.wi.us pattern is included here for various Department-level agencies, such as those at: https://www.google.com/search?q=site%3Astate.wi.us  Requires 'www' to resolve. -- Note added 4/2/14 12:49"
"travel tourism,travel,tourism,state",", Wyoming",State of Wyoming travel and tourism website -- Note added 7/23/14 5:34
state,", Nebraska",Nebraska State Fair -- Note added 12/6/13 19:53
,", New York","Staten Island Borough President, New York, NY -- Note added 11/20/13 18:23"
"division,nc",,NC Division of Surplus Property -- Note added 9/15/15 18:02
nc,,NC sustainability connection -- Note added 9/15/15 18:06
"north,carolina,public",", North Carolina","Welcome to Teach4NC, dedicated to the recruitment of teaching professionals for public schools in North Carolina. -- Note added 9/15/15 18:19"
commission,", Tennessee",Tennessee Holocaust Commission -- Note added 6/26/14 7:22
state,", Texas",State Bar of Texas -- Note added 6/20/14 16:58
,", Tennessee",Tennessee Foreign Language Institute -- Note added 6/26/14 7:21
,", Tennessee",Tennessee Housing Development Agency -- Note added 6/26/14 7:19
economic development,,kentucky cabinet of economic development -- Note added 8/27/15 16:58
,", Texas",Texas Municipal Retirement System (TMRS)  -- Note added 8/18/14 16:14
,", Tennessee",Tennessee District Attorneys General Conference -- Note added 6/26/14 7:16
,", Tennessee",Tennessee Emergency Management Agency -- Note added 6/26/14 7:15
lottery,", Tennessee",Lottery Tennessee -- Note added 6/12/13 14:26
national guard,", Tennessee",Tennessee National Guard -- Note added 6/26/14 7:13
"travel tourism,travel tourism site,state,travel,tourism,tourism site,site",", Tennessee","Tennessee Vacation, the travel and tourism site for the state of Tennessee -- Note added 8/18/14 15:23"
,", Texas",Texas Parks and Wildlife magazine -- Note added 3/20/14 16:35
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Alaska",Travel and Tourism Site for Alaska -- Note added 6/6/13 19:44
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Iowa",Travel and Tourism Site for Iowa -- Note added 6/6/13 19:44
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Kansas",Travel and Tourism Site for Kansas -- Note added 6/6/13 19:44
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Nevada",Travel and Tourism Sites for Nevada -- Note added 6/6/13 19:11
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Oklahoma",Travel and Tourism Sites for Oklahoma -- Note added 6/6/13 19:11
"travel tourism,travel tourism site,commission,travel,tourism,tourism site,site",", Oregon","Travel and Tourism Site for Oregon, Oregon Tourism Commission -- Note added 7/23/14 16:09"
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", South Dakota",Travel and Tourism Sites for South Dakota -- Note added 6/6/13 19:11
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Texas",Travel and Tourism Sites for Texas -- Note added 6/6/13 19:11
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Wisconsin",Travel and Tourism Sites for Wisconsin -- Note added 6/6/13 19:11
state,", Nebraska",Nebraska State Treasurer -- Note added 12/6/13 20:03
commission,", Washington",Washington Tree Fruit Research Commission -- Note added 11/12/14 6:37
"authority,state",", Washington",Washington State Tobacco Settlement Authority -- Note added 4/8/14 18:29
lottery,", Texas",Texas Lottery -- Note added 6/12/13 14:26
"cooperative extension service,division",", Arkansas","University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service -- Note added 12/10/14 7:11"
cooperative extension service,", Alaska",University of Alaska Fairbanks Cooperative Extension Service -- Note added 6/7/13 16:34
,", Idaho",University of Idaho Extension -- Note added 7/8/13 14:29
,", Virgin Islands",U.S. Virgin Islands Bureau of Economic Research -- Note added 8/18/14 14:14
"economic development authority,economic development,authority",", Virgin Islands",U.S. Virgin Islands Economic Development Authority -- Note added 8/18/14 14:12
,", Vermont",University of Vermont Extension -- Note added 8/18/14 5:33
,", Wisconsin",University of Wisconsin-Extension -- Note added 8/12/14 5:36
cooperative extension service,", Wyoming",University of Wyoming Cooperative Extension Service -- Note added 7/23/14 5:39
state,", Virginia",Virginia State Rehabilitation Council (SRC) -- Note added 8/27/15 14:12
state,", Virginia","The Virginia Association of Assessing Officers is a professional organization of assessors and appraisers from state and local governments throughout the Commonwealth. The organization's mission is to improve assessment standards, disseminate information on assessment practices, and provide continuing education to its members. -- Note added 7/11/14 18:56"
board,", Virginia",Virginia Board for People with Disabilities -- Note added 7/11/14 18:57
,", Virginia",Virginia Commonwealth Neurotrauma Initiative (CNI) Trust Fund -- Note added 9/3/15 11:28
"department,services",", Virginia",Virginia Department for Aging and Rehabilitative Services -- Note added 8/27/15 14:22
"department,services",", Virginia",Virginia Department for Aging and Rehabilitative Services -- Note added 6/6/13 18:09
services,", Virginia",Virginia Disability Services Agencies -- Note added 7/14/14 16:54
department,", Virginia",Virginia Department of Fire Programs -- Note added 6/12/13 18:15
lottery,", Virginia",Virginia Lottery -- Note added 6/12/13 14:27
,", Virginia",Virginia Statewide Independent Living Council -- Note added 9/3/15 11:14
,", Virginia",Virginia Assistive Technology System -- Note added 7/11/14 19:06
,", Virginia",Virginia Career Education Foundation is a non-profit organization that works to increase the number of qualified applicants available to fill technical positions throughout the Commonwealth of Virginia. -- Note added 7/11/14 19:07
department,", Virginia",Virginia Department for the Blind and Vision Impaired -- Note added 7/11/14 19:09
department,", Virginia",Virginia Department for the Deaf and Hard of Hearing (VDDHH) -- Note added 7/11/14 19:09
"north,state",", North Carolina",State of North Carolina's Vendor Registration -- Note added 1/14/14 13:04
,", Vermont",Vermont Arts Council -- Note added 8/18/14 5:35
,", Vermont",Vermont Historical Society -- Note added 8/18/14 5:36
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Vermont",Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
authority,", Virginia",Virginia Housing Development Authority -- Note added 7/11/14 19:10
,", Vermont",Vermont Housing Finance Agency -- Note added 8/18/14 5:37
"department,services,board,department agriculture consumer,economic development",", Virginia",The Virginia Horse Industry Board is responsible for the promotion and economic development of the horse industry in Virginia and operates through the Virginia Department of Agriculture and Consumer Services. -- Note added 7/11/14 19:12
,", Virginia","Virginia Industries for the Blind, Commonwealth of Virginia -- Note added 9/3/15 11:46"
"department,department education",", Virgin Islands",Virgin Islands Department of Education -- Note added 8/18/14 14:08
office,", Virgin Islands",Office of the Virgin Islands Inspector General -- Note added 8/18/14 14:13
department,", Virgin Islands",U.S. Virgin Islands Police Department -- Note added 8/18/14 14:16
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Virginia",Travel and Tourism Sites for Virginia -- Note added 6/6/13 19:11
,", Virginia",Virginia College Savings Plan -- Note added 7/11/14 19:18
economic development,", Virginia",Virginia Economic Development Partnership's Ally Information Exchange -- Note added 7/11/14 20:17
department,", Virginia",Virginia Department of Transportation -- Note added 7/11/14 20:18
authority,", Virginia",Virginia Resources Authority -- Note added 7/11/14 20:19
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", California",Travel and Tourism Site for California -- Note added 8/27/13 12:59
,", California",California Welcome Centers -- Note added 8/27/13 12:58
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Delaware",Travel and Tourism Sites for Delaware -- Note added 6/6/13 19:11
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Florida",Travel and Tourism Site for Florida -- Note added 6/6/13 19:15
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Guam",Travel and Tourism Sites for Guam -- Note added 6/6/13 19:11
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Idaho",Travel and Tourism Site for Idaho -- Note added 6/6/13 19:48
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Maine",Travel and Tourism Sites for Maine -- Note added 6/6/13 19:11
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Maryland",Travel and Tourism Site for Maryland -- Note added 6/6/13 19:17
"travel tourism,travel,tourism,tourism sites,travel tourism sites",", Mississippi",Travel and Tourism Sites for Mississippi -- Note added 6/6/13 19:11
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Missouri",Travel and Tourism Site for Missouri -- Note added 6/6/13 19:34
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Montana",Travel and Tourism Site for Montana -- Note added 6/6/13 19:33
"travel tourism,travel tourism site,north,travel,tourism,tourism site,carolina,site",", North Carolina",Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Nebraska",Travel and Tourism Site for Nebraska -- Note added 6/6/13 19:33
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Pennsylvania",Travel and Tourism Site for Pennsylvania -- Note added 6/6/13 19:32
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Rhode Island",Travel and Tourism Site for Rhode Island -- Note added 6/6/13 19:32
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Virgin Islands",Travel and tourism site for the US Virgin Islands -- Note added 6/6/13 19:47
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Utah",Travel and Tourism Site for Utah -- Note added 6/6/13 19:31
,", Virgin Islands",Supreme Court of the United States Virgin Islands -- Note added 8/18/14 14:06
"department,state",", Florida","Viva Florida 500 is a statewide initiative led by the Florida Department of State, under the leadership of Governor Rick Scott, to highlight the 500 years of historic people, places and events in present-day Florida since the arrival of Juan Ponce de Leon to the land he named La Florida in 1513. See more at http://www.vivaflorida.org/About-Viva-Florida/ -- Note added 7/23/14 14:01"
,", Virginia","Virginia Museum of Natural History in Martinsville, VA -- Note added 7/11/14 20:20"
commission,", Florida",Florida Governor's Commission on Volunteerism and Community Service -- Note added 11/9/15 19:00
commission,", Mississippi","Volunteer Mississippi, A Mississippi Commission for Volunteer Service (MCVS) -- Note added 7/28/14 14:58"
"carolina,north,commission",", North Carolina",North Carolina Commission on Volunteerism and Community Service -- Note added 11/10/15 20:34
,", Virginia",Virginia Rehabilitation Center for the Blind and Vision Impaired -- Note added 8/27/15 15:09
,", Virginia",Virginia Rural Water Association -- Note added 7/23/13 19:42
state,", Virginia",Virginia State Bar -- Note added 7/11/14 20:21
national guard,", Vermont",Vermont National Guard -- Note added 1/23/14 14:03
lottery,", Vermont",Vermont Lottery -- Note added 6/12/13 14:27
commission,", Washington",Washington Blueberry Commission -- Note added 11/12/14 6:30
commission,", Washington",Washington Hardwoods Commission -- Note added 11/12/14 6:29
"lottery,state",", Washington",Washington State Lottery -- Note added 12/2/14 7:23
"commission,state",", Washington",Washington State Seed Potato Commission -- Note added 11/12/14 6:26
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", District Of Columbia",Travel and Tourism Site for the District of Columbia -- Note added 6/6/13 19:31
national guard,", Washington",Washington Air National Guard -- Note added 1/3/14 13:08
national guard,", Washington",Washington Army National Guard -- Note added 1/23/14 14:03
national guard,", Washington",Washington National Guard -- Note added 1/23/14 14:03
"commission,state",", Washington",Washington State Wine Commission -- Note added 11/12/14 6:23
,", Washington",Washington Association of Sheriffs and Police Chiefs -- Note added 11/12/14 6:22
state,", Mississippi","Waterparkin', a website of the Pat Harrison Waterway District (PHWD) a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi. See historical snaphot at: http://web.archive.org/web/20101224004547/http://waterparkin.com/  -- Note added 1/13/14 20:28"
"carolina,office,north",", North Carolina","The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. -- Note added 8/13/14 17:41"
"department,state",", Wisconsin",State of Wisconsin Department of Financial Institutions -- Note added 8/11/14 5:34
,", Rhode Island",University of Rhode Island Cooperative Extension -- Note added 6/7/13 18:31
"economic development,authority",", Washington",Washington Economic Development Finance Authority -- Note added 11/12/14 6:21
"public health,public,health,nc,division public health,division",,"Women's Health Branch, NC Division of Public Health -- Note added 7/26/13 15:11"
"economic development authority,economic development,authority",", Wisconsin",Wisconsin Housing and Economic Development Authority -- Note added 8/11/14 5:30
authority,", Washington",Washington Higher Education Facilities Authority -- Note added 4/8/14 18:33
department,", Oklahoma",Oklahoma Department of Wildlife Conservation - http://www.wildlifedepartment.com/  -- Note added 10/29/13 15:11
lottery,", Wisconsin",Wisconsin Lottery -- Note added 6/12/13 14:28
lottery,", Virgin Islands",Virgin Islands Lottery -- Note added 6/12/13 14:29
,", Wisconsin",Wisconsin Historical Society -- Note added 8/11/14 5:26
"office,public,state",", Wisconsin",Wisconsin State Public Defender's Office -- Note added 6/14/13 17:38
,", Wisconsin",Register of Deeds Association of Wisconsin -- Note added 8/11/14 5:23
"state,health,nc,services,division,health human services",,"NC Dept of Health and Human services, division of State operated healthcare facilities -- Note added 9/14/15 20:51"
state,", Washington",Washington State Convention Center -- Note added 11/6/14 7:30
"commission,state",", Washington",Washington State Commission on Pesticide Registration -- Note added 11/6/14 7:32
"commission,state",", Washington",Washington State Housing Finance Commission -- Note added 11/6/14 7:27
state,", Washington",Washington State School for the Blind -- Note added 7/31/13 16:31
department,", West Virginia, Virginia",West Virginia Department of Agriculture -- Note added 3/31/14 13:07
department,", West Virginia, Virginia",West Virginia Department of Commerce -- Note added 3/24/14 16:50
division,", West Virginia, Virginia",West Virginia Division of Culture and History -- Note added 3/31/14 13:08
"health,department health human,department",", West Virginia, Virginia",West Virginia Department of Health and Human Resources -- Note added 7/24/14 5:50
,", West Virginia, Virginia",West Virginia Housing Development Fund -- Note added 7/24/14 5:51
commission,", West Virginia, Virginia",West Virginia Higher Education Policy Commission -- Note added 3/31/14 13:12
"division,department",", West Virginia, Virginia","West Virginia Department of Commerce, Division of Labor -- Note added 7/24/14 5:52"
lottery,", West Virginia, Virginia",West Virginia Lottery -- Note added 6/12/13 14:29
,", West Virginia, Virginia",West Virginia Network for Educational Telecomputing -- Note added 7/24/14 5:54
"board,public",", West Virginia, Virginia",West Virginia Consolidated Public Retirement Board -- Note added 3/31/14 13:33
state,", West Virginia, Virginia",West Virginia State Parks -- Note added 3/31/14 13:34
"office,state",", West Virginia, Virginia",West Virginia State Treasurer's Office -- Note added 3/31/14 13:35
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", West Virginia, Virginia",Travel and Tourism Site for West Virginia -- Note added 6/6/13 19:18
authority,", West Virginia, Virginia",West Virginia Water Development Authority -- Note added 7/24/14 5:57
national guard,", Montana",Montana Army National Guard -- Note added 3/2/15 6:52
,", Wyoming",Wyoming Business Council -- Note added 6/7/13 16:41
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Wyoming",Travel and Tourism Site for Wyoming -- Note added 6/6/13 19:31
"authority,board,economic development,state",", Virginia","Virginia Economic Development Partnership. As a state authority, the Partnership is governed by a 25 member http://yesvirginia.org/AboutUs/BoardOfDirectors Board Of Directors comprised of businesspersons from around Virginia, each of whom is appointed by the http://www.governor.virginia.gov Governor and the General Assembly.  -- Note added 11/20/13 18:52"
